date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-10 20:00:00;29.3;0.0;1.0;0.0
2017-10-10 20:15:00;19.9;0.0;0.0;0.0
2017-10-10 20:30:00;15.8;0.0;0.0;0.0
2017-10-10 20:45:00;20.0;0.0;0.0;0.0
2017-10-10 21:00:00;24.2;0.0;0.0;0.0
2017-10-10 21:15:00;12.3;0.0;0.0;0.0
2017-10-10 21:30:00;10.5;0.0;0.0;0.0
2017-10-10 21:45:00;13.0;0.0;0.0;0.0
2017-10-10 22:00:00;15.2;0.0;0.0;0.0
2017-10-10 22:15:00;14.7;0.0;0.0;0.0
2017-10-10 22:30:00;14.5;0.0;0.0;0.0
2017-10-10 22:45:00;9.7;0.0;0.0;0.0
2017-10-10 23:00:00;9.1;0.0;0.0;0.0
2017-10-10 23:15:00;19.8;0.0;0.0;0.0
2017-10-10 23:30:00;9.0;0.0;0.0;0.0
2017-10-10 23:45:00;8.0;0.0;0.0;0.0
2017-10-11 00:00:00;13.9;0.0;0.0;0.0
2017-10-11 00:15:00;13.8;0.0;0.0;0.0
2017-10-11 00:30:00;17.0;0.0;0.0;0.0
2017-10-11 00:45:00;10.6;0.0;0.0;0.0
2017-10-11 01:00:00;13.8;0.0;0.0;0.0
2017-10-11 01:15:00;16.9;0.0;0.0;0.0
2017-10-11 01:30:00;11.7;0.0;0.0;0.0
2017-10-11 01:45:00;11.2;0.0;0.0;0.0
2017-10-11 02:00:00;8.7;0.0;0.0;0.0
2017-10-11 02:15:00;9.0;0.0;0.0;0.0
2017-10-11 02:30:00;10.6;0.0;0.0;0.0
2017-10-11 02:45:00;13.5;0.0;0.0;0.0
2017-10-11 03:00:00;13.8;0.0;0.0;0.0
2017-10-11 03:15:00;13.1;0.0;0.0;0.0
